amka	first_name	last_name	speciality	doc_rank	eixe_efimeria_fetos	epemvaseis_os_kyrios_xeirourgos
01088642167	Ευδόξιος	Αμπλιάνιτης	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Β	Ναι	0
02018808552	Λεονάρδος	Χολέβα	ΚΑΡΔΙΟΛΟΓΙΑ	ΔΙΕΥΘΥΝΤΗΣ	Ναι	0
03086134102	Μιχάλης	Χρυσικάκη	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Α	Ναι	0
03099563113	Ευφροσύνη	Ευκαρπίδης	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Α	Ναι	0
05017903451	Αθανάσιος	Περπινιάς	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Α	Ναι	0
05058389551	Καλλίνικη	Τσιαντάς	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Α	Ναι	0
06066612461	Στέλλιος	Γιαννόπουλος	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Α	Ναι	0
07016402507	Πυθαγόρας	Κουρλού	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Α	Ναι	0
07046239753	Ευστράτιος	Ράπτης	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΙΔΙΚΕΥΟΜΕΝΟΣ	Ναι	0
09017916294	Φλοριάντ	Μιχαλάκης	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΙΔΙΚΕΥΟΜΕΝΟΣ	Ναι	0
15119795893	Χρυσοβαλάντου	Παπαγεωργίου	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Β	Ναι	0
16058694705	Στέργιος	Κατσιλλή	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΙΔΙΚΕΥΟΜΕΝΟΣ	Ναι	0
17109755628	Ερμόλαος	Μενγκ	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Β	Ναι	0
24077506757	Χρυσαυγή	Αρμένης	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Β	Ναι	0
27038486889	Ηλιάνα	Νικολάου	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Β	Ναι	0
27088413205	Κορνήλιος	Γιανναρά	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Α	Ναι	0
28100072699	Τριαντάφυλλη	Τερζίδης	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΙΔΙΚΕΥΟΜΕΝΟΣ	Ναι	0
29117294963	Ολύμπια	Κουτσικούρη	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Β	Ναι	0
31128708921	Αριστομένης	Τσεμπερλίδης	ΚΑΡΔΙΟΛΟΓΙΑ	ΕΠΙΜΕΛΗΤΗΣ Β	Ναι	0
