patient_amka,Επίθετο,Όνομα,Έτος,"Διάρκεια Παραμονής"
17054800071,Αθανασίουου,Αντωνία,2023,39
12120100105,Κωνσταντίνου,Χριστίνα,2023,39
01090600108,Κωνσταντίνου,Χρήστος,2023,38
24061900094,Σταυρόπουλος,Αθανάσιος,2023,38
19087300008,Οικονόμου,Σταυρούλα,2023,37
03126300045,Χριστοδούλου,Σταυρούλα,2023,37
25126600023,Αντωνίου,Λεωνίδας,2023,35
16128000053,Κουτσούκης,Σταύρος,2023,35
18039100010,Νικολάου,Λεωνίδας,2023,35
25016400123,Κουτσούκης,Νικολέτα,2023,33
13126100044,Σταυρόπουλος,Χριστίνα,2023,33
08108800184,Κωνσταντίνου,Σπυρίδων,2023,32
01080100058,Σταυρόπουλος,Σπυρίδων,2023,32
26037100057,Κωνσταντίνου,Ευάγγελος,2023,28
27037700014,Κωνσταντίνου,Αλέξανδρος,2023,28
18096100116,Κωνσταντίνουου,Γεωργία,2023,28
07067500144,Νικολάου,Σταύρος,2023,27
11060800034,Παπαγεωργίου,Λεωνίδας,2023,27
06071800029,Αθανασίου,Μιχαήλ,2023,26
24017600137,Καραγιάννης,Αντώνιος,2023,26
20089400121,Παπαδημητρίου,Βασίλειος,2023,26
04057900004,Λάμπρου,Παναγιώτης,2023,24
13060800024,Νικολάου,Χρήστος,2023,24
13059000118,Παπαδόπουλος,Ιωάννης,2023,24
15110000180,Γεωργίου,Παναγιώτης,2023,23
16041000025,Νικολάου,Θεόδωρος,2023,23
06126700085,Παπαγεωργίουου,Ελένη,2023,23
02021700067,Παπαδημητρίου,Θεόδωρος,2023,23
05035300026,Γεωργίου,Μαρία,2023,21
08065100064,Δημητρίου,Μιχαήλ,2023,21
04069500106,Ζαχαρίου,Ηλίας,2023,21
24125700190,Νικολάου,Αθανάσιος,2023,21
04016000183,Ζαχαρίου,Αλέξανδρος,2023,19
26027800088,Ιωαννίδης,Γεώργιος,2023,19
15032100119,Κωνσταντίνου,Αθανάσιος,2023,19
03027000043,Κωνσταντίνου,Νεκτάριος,2023,19
06067200120,Λάμπρου,Σταύρος,2023,19
12058400136,Λάμπρου,Ιωάννης,2023,19
07020400100,Παπαδόπουλος,Άννα,2023,19
22056100194,Σταυρόπουλος,Βασιλική,2023,19
01029500021,Βασιλείου,Γεώργιος,2023,18
10046500032,Ζαχαρίου,Σταύρος,2023,18
04124200143,Λάμπρου,Μαρία,2023,18
05070900175,Οικονόμου,Αικατερίνη,2023,18
27096800046,Μακρής,Ευάγγελος,2023,17
05010800125,Νικολάουου,Ελευθερία,2023,17
06049600167,Παπαγεωργίου,Νικόλαος,2023,17
14035600065,Παπαδόπουλος,Βασίλειος,2023,17
01026300171,Αντωνίου,Γεώργιος,2023,16
28026900005,Αντωνίου,Βασίλειος,2023,16
07069600172,Γεωργίου,Παναγιώτης,2023,16
07016200131,Δημητρίου,Σταύρος,2023,16
24029600156,Ζαχαρίου,Μιχαήλ,2023,16
01058000127,Νικολάου,Χρήστος,2023,16
05116400169,Παπαγεωργίου,Νεκτάριος,2023,16
11090400062,Γεωργίου,Παναγιώτης,2022,39
22038900113,Λάμπρου,Χρήστος,2022,39
08069500140,Βασιλείου,Βασιλική,2022,36
26027800088,Ιωαννίδης,Γεώργιος,2022,36
06067200120,Λάμπρου,Σταύρος,2022,36
01058000127,Νικολάου,Χρήστος,2022,34
12104700030,Οικονόμου,Θεοδώρα,2022,34
08107400012,Δημητρίουου,Ιωάννα,2022,32
20069600056,Λάμπρου,Ιωάννης,2022,32
17124500176,Κουτσούκης,Σοφία,2022,29
01080100058,Σταυρόπουλος,Σπυρίδων,2022,29
12057200145,Βασιλείου,Αθανάσιος,2022,28
08058000162,Καραγιάννης,Ηλίας,2022,28
28098000161,Μακρής,Ελευθερία,2022,28
23036300037,Σταυρόπουλος,Ηλίας,2022,28
25129900084,Σταυρόπουλοςου,Άννα,2022,28
05076400148,Αθανασίου,Σπυρίδων,2022,26
19015200134,Αντωνίου,Βασιλική,2022,26
12086200099,Τσιώτης,Χριστίνα,2022,26
07069600172,Γεωργίου,Παναγιώτης,2022,24
14088500152,Χριστοδούλου,Κωνσταντίνος,2022,24
10046500032,Ζαχαρίου,Σταύρος,2022,21
12108200097,Παπαγεωργίου,Σπυρίδων,2022,21
05035300026,Γεωργίου,Μαρία,2022,20
03030600164,Κουτσούκης,Ελευθερία,2022,20
01026300171,Αντωνίου,Γεώργιος,2022,19
13059500018,Χριστοδούλου,Ηλίας,2022,19
16128000053,Κουτσούκης,Σταύρος,2022,18
06126700085,Παπαγεωργίουου,Ελένη,2022,18
20089400121,Παπαδημητρίου,Βασίλειος,2022,18
07020400100,Παπαδόπουλος,Άννα,2022,18
13060800024,Νικολάου,Χρήστος,2022,17
02070200009,Οικονόμου,Ιωάννης,2022,17
16035400142,Παπαδημητρίου,Μιχαήλ,2022,17
18121500022,Ζαχαρίου,Αντωνία,2022,16
12046300081,Μακρήςου,Σοφία,2022,16
24061900094,Σταυρόπουλος,Αθανάσιος,2022,16
