amka,Επίθετο,Όνομα,"Φετινές Επεμβάσεις"
06046822187,Κωστάκης,Μαλβίνα,1
20067678425,Κοντού,Δαμασκηνός,1
24029780426,Καζανόπουλος,Δημόκριτος,1
09098184497,Νώε,Ανατολή,1
12119060839,Χατζή,Ρουμπίνη,1
21056441322,Μπαλάσκας,Σωφρονία,1
26046569929,Μακροπούλου,Έκτορας,1
10096794194,Κολοβός,Ζαχαρένια,1
11107213485,Δαΐκου,Ναπολέων,1
20058719438,Αντωνόπουλος,Αριστοφάνης,1
25018534216,Κουτσιουμάρη,Ευρυδίκη,1
05129888588,Λεντζίου,Θαλής,1
09097419857,Ευαγγελάτος,Σουλτάνα,1
17097786674,Τριαντακωνσταντής,Ιωάννα,1
24029786412,Παππάς,Αριστείδης,1
06029129635,Σαραντινός,Μαριάνθη,1
10039407534,Κουλίδης,Ευριπίδης,1
15119795893,Παπαγεωργίου,Χρυσοβαλάντου,1
07037549053,Βερβίτη,Νεκτάριος,1
01088642167,Αμπλιάνιτης,Ευδόξιος,1
27037274372,Μακρυγιάννης,Λουκία,1
17096902495,Ξανθάκης,Βαλεντίνα,1
18058046135,Καρτάς,Κυπριανός,1
16108797378,Πολυχρονόπουλος,Προκόπιος,1
29026868254,Μαρακάς,Ειρήνη,1
28077609537,Παπαγιάννης,Αγνή,1
05039409683,Καρακάξης,Αντίπατρος,1
19079921895,Καλαπόδης,Αικατερίνη,1
18029289733,Γιαπατζής,Βαρσαμία,1
01017525350,Κουλουμπού,Αντύπας,1
15117222862,Παπαευαγγέλου,Πάτροκλος,1
04099928369,Χρυσίδης,Αναγνώστης,1
20087119049,Πυλαρινός,Δούκισσα,1
03016921865,Τσώνης,Βαλεντίνα,1
20086217876,Κυρούδη,Θεοχάρης,1
02018808552,Χολέβα,Λεονάρδος,1
07080087897,Πετρογιάννης,Ζαχαρούλα,1
03019900429,Κονσούλα,Ευτύχιος,1
05089874754,Κουτσουρέλη,Ιερώνυμος,1
22128517505,Ζουλούμης,Σαπφώ,1
26026958369,Σιτόπουλος,Τρισεύγενη,1
08029740629,Ζερβά,Ρεγγίνα,1
11108405644,Μωραΐτη,Κασσάνδρα,1
16029392161,Ντόκος,Κλυταιμνήστρα,1
28067610215,Χαβρεδάκης,Υπαπαντή,1
31078505025,Καλλιάνταση,Ιάσων,1
04107698803,Βασιλειάδη,Ρέα,1
14018607577,Ατσαλάκη,Κυπαρισσία,1
16027130940,Στούμπου,Αυξέντιος,1
29107681432,Μαρουγιάννη,Ανάργυρος,1
31036109430,Χουντής,Σωτήριος,1
12079783154,Αφρουδάκης,Πηνελόπη,1
13027093357,Μπαγανάς,Αφέντρα,1
25027859146,Τουρνά,Ιουλιανός,1
03056873209,Πετρόπουλος,Αριστοτέλης,1
06056267622,Βουλγαρίδου,Θεοφύλακτος,1
17097766452,Ψυλλάκης,Ιάσονας,1
19066878983,Βασιλογιάννης,Θησεύς,1
01049782728,Γιαννακέας,Ροδαμάνθη,1
06019991047,Τσέλλος,Φανή,1
15117980654,Παλαιολόγος,Χρυσοβαλάντω,1
27047886469,Μανωλάκης,Διαμαντής,1
31078393020,Σάτλας,Αλέξιος,1
12029001122,Πουλίδα,Φαίδων,1
10066143499,Σταθά,Αγλαΐα,1
19057103763,Ιακωβάκης,Νεκτάριος,1
04046688638,Ευστρατόπουλος,Ναθαναήλ,1
15108867348,Σμιτ,Κομνηνός,1
29028801336,Πάνος,Κομνηνή,1
30019001935,Ασουχίδου,Παράσχος,1
09066526530,Τσέτου,Πλάτων,1
12058164859,Κουτσογιάννόπουλος,Μεταξία,1
29077044414,Σοκολάκη,Λαυρεντία,1
31089296431,Ευαγγελάκη,Υπαπαντή,1
09127045583,Γιατράκου,Ηράκλεια,1
12040121504,Φραγκόπουλος,Αγλαΐα,1
26079538601,Γκουτζαμάνης,Θεμιστοκλής,1
28010193894,Βαλσαμίδου,Δαμιανός,1
06096149214,Βλάχου,Φλώρα,1
14039332393,Νάσσου,Βαλέριος,1
22036132196,Κομκούδης,Δημοκράτης,1
28117752470,Φουσιέκης,Βενιαμίν,1
08128112199,Αμπατζιάνης,Νέαρχος,1
10086457143,Πετρόπουλος,Τριαντάφυλλη,1
22129799246,Παπαθανασίου,Σταματίνα,1
01049189535,Γρηγοριάδου,Σταυρούλα,1
09126551286,Μπίλλας,Ρεβέκα,1
18027735818,Ψυρρή,Περσεφόνη,1
22099738951,Ξηροτύρη,Όμηρος,1
27127673919,Ιωσηφίδου,Ταξιάρχης,1
11049879171,Δώρη,Κυράτσα,1
13090067380,Μπούζα,Αλέξιος,1
22107520283,Κουτκιά,Αριστέα,1
29117294963,Κουτσικούρη,Ολύμπια,1
07019184906,Ταχτσίδης,Ελευθέριος,1
07046239753,Ράπτης,Ευστράτιος,1
29047868902,Μενγκ,Περσεφόνη,1
31107258485,Ζευγίτης,Μαυρίκιος,1
14079860390,Τσόλκας,Στυλιανός,1
30097268685,Καραμανλή,Ματθαίος,1
12026894956,Κυργιά,Μαυρίκιος,1
10058235892,Ζηματίκας,Φώτιος,1
30049894530,Ντόβας,Τίμων,1
31106458257,Μιχαλάρου,Κανέλλα,1
14060049491,Δαματοπούλου,Φιλιώ,1
17029231951,Χουντής,Ανδροκλής,1
25060057048,Τσικνή,Πολύμνια,1
27107168888,Δουβίκας,Αφέντης,1
12039779123,Κασσωτάκη,Διδώ,1
13027255824,Φραγκουδάκη,Λογοθέτης,1
27038486889,Νικολάου,Ηλιάνα,1
28100072699,Τερζίδης,Τριαντάφυλλη,1
05058389551,Τσιαντάς,Καλλίνικη,1
07016402507,Κουρλού,Πυθαγόρας,1
21076204882,Τσαντίδου,Ασημίνα,1
26117466083,Κονιάρη,Διονυσία,1
22099000549,Μασαούτη,Βαγιανή,1
26096685329,Σαμαράς,Νικητία,1
05028308385,Δήμου,Ανάργυρη,1
12038567764,Βανδώρος,Μεγακλής,1
25109316320,Κουρκουτάς,Αγησίλαος,1
29118069639,Μπακοστεργίου,Χρυσή,1
08088356540,Πάνου,Βαρβάρα,1
09068048531,Ασημόπουλος,Ιπποκράτης,1
20029606877,Ντζιαβίδα,Κοραλία,1
24077131550,Σπανουδάκης,Βενιζέλος,1
03026991660,Κώτσου,Ασημούλα,1
04078836103,Ζηδιανάκης,Θαλής,1
15047088735,Μαρκαντωνάκη,Γιαννούλα,1
19029358010,Αγγελάκος,Μαυρίκιος,1
04048729179,Δερμιτζάκης,Σέργιος,1
26059360658,Δρόσου,Χρύσανθος,1
05126269891,Κουρής,Μαλαμάτη,1
17037399441,Λιόλιος,Τιμοθέα,1
06108179049,Μασγαλάς,Ράλλης,1
23096680738,Πανοπούλου,Αρίσταρχος,1
20128550938,Σαμακίδης,Ζαφειρία,1
23058479335,Πέτρου,Κόσμια,1
07086038913,Βουτσινά,Ισιδώρα,1
10099652132,Παλαμπουγιούκη,Ιουλιανός,1
19059207269,Ευκαρπίδης,Λουίζα,1
27027245031,Σιόλου,Κλέαρχος,1
01058671300,Ζώνιος,Μάρκος,1
07048816500,Γκανάτσιος,Μαρίνα,1
21036462105,Μπρούζου,Νεκτάριος,1
23069048586,Κουρής,Χρύσανθος,1
03066368016,Γιασημάκης,Ευδοκία,1
03118218222,Λιάνου,Γλυκερία,1
15068082692,Κοττίκας,Θεόφραστος,1
19019698531,Ρούσσου,Παντελεήμων,1
31078250349,Γκόνη,Γερασιμούλα,1
02127682467,Ευκαρπίδης,Εμμανουήλ,1
10077706487,Μπαλάση,Μένανδρος,1
26018292157,Φιδάνη,Προμηθέας,1
31037767485,Ζολώτας,Παντούλα,1
04127646304,Σταυρίδου,Ναπολέων,1
11029304798,Παντζέκος,Πολύκαρπος,1
16097771530,Δρακουλή,Αθανάσιος,1
27118185120,Ευαγγελάκη,Ευθύμιος,1
06056991804,Σπανοχριστοδούλου,Πολυχρονία,1
09048648934,Τουρνά,Ανθούλα,1
19086880161,Σεβαστού,Μαρκέλλα,1
26069634630,Βράσκου,Διονυσία,1
04066362326,Μαγκούφης,Χρήστος,1
20010197313,Μπύρου,Ερμιόνη,1
10036277703,Εμπορόπουλος,Σεμίνα,1
24077506757,Αρμένης,Χρυσαυγή,1
05017903451,Περπινιάς,Αθανάσιος,1
21017199070,Σαουλίδης,Πολύβιος,1
01066699121,Θεοδωρόπουλος,Αφέντης,1
17048653207,Κανελλοπούλου,Βαρδής,1
24087438561,Χατζελλής,Μαργαρίτα,1
02116771774,Σταμόπουλος,Οδυσσέας,1
04056354261,Ενωτιάδη,Ανάργυρος,1
13028381258,Ανδρεανίδης,Θάλεια,1
16028395137,Κοντοκώστας,Ειρήνη,1
30116345997,Ροϊδούλης,Ηλιάνα,1
06027615059,Περρώτης,Ευγενία,1
18027266408,Πέππας,Πηνελόπη,1
19076364748,Μαυρογονάτος,Αριστείδης,1
30076886415,Γραμματικόπουλος,Ζαφείριος,1
02056608544,Ζαρειφοπούλου,Λεμονιά,1
12119485522,Μπαλαμπάνη,Θεόκλητος,1
18116213347,Φουσιέκης,Ζαχαρίας,1
30096123574,Ιωακείμ,Πολυτίμη,1
08047882768,Δουλγεράκη,Πούλια,1
16017678964,Ταμπορρίνο,Πολύδωρα,1
17109755628,Μενγκ,Ερμόλαος,1
26019593628,Γούλα,Σωτήριος,1
03099563113,Ευκαρπίδης,Ευφροσύνη,1
12066589504,Παπασταύρου,Ευανθία,1
20047966954,Μουσελίμης,Δαμασκηνή,1
27088413205,Γιανναρά,Κορνήλιος,1
20036662752,Καράμπας,Παυλίνα,1
06066612461,Γιαννόπουλος,Στέλλιος,1
02098162766,Φιδάνη,Βερόνικα,1
22079514185,Χρήστου,Βιργινία,1
04077871982,Φαλιέρος,Βαρβάρα,1
20096697215,Σίββα,Εύα,1
30108098445,Πισχινάς,Δήμος,1
15066840710,Αλεξοπούλου,Αρτέμης,1
29116796944,Βάρσος,Ρεγγίνα,1
13029642949,Αποστολάκη,Δαβιδούλα,1
31128708921,Τσεμπερλίδης,Αριστομένης,1
06057843210,Σκρίμπας,Γεσθημανή,1
09017916294,Μιχαλάκης,Φλοριάντ,1
16058694705,Κατσιλλή,Στέργιος,1
29098866429,Θεοδωρόπουλος,Αρχέλαος,1
03086134102,Χρυσικάκη,Μιχάλης,1
17078303189,Καρακυρίου,Ίκαρος,1
19058307952,Ρέππος,Κλεόπας,1
16038979336,Ζευγίτης,Πολυχρονία,1
18036816903,Λαγοπάτης,Αγγελική,1
28056377561,Φίλκα,Ροδαμάνθη,1
02059591157,Θωμόπουλος,Σπυρίδων,1
19048052347,Γκούσκος,Φοίβος,1
21118510300,Σαλταούρας,Κλειώ,1
29097725430,Καλαμάρα,Σελήνη,1
30039398422,Τσεμπερλίδης,Ιφιγένεια,1
10046927984,Αλατζάκης,Θεοτόκης,1
17028387782,Αφρουδάκης,Ζαφείριος,1
27016274054,Πουλίδα,Μερκούριος,1
30087944865,Σκρίμπας,Καρυοφυλλιά,1
03087476004,Ματσούρη,Κωνσταντίνος,1
13126847325,Κοντός,Θεοδόσιος,1
21117445612,Μανέτα,Μάριος,1
28117478074,Πεμούση,Αργυρώ,1
03108377536,Αργυροπούλου,Ευστράτιος,1
07100076031,Σκαφτούρου,Πασχαλιά,1
17048315601,Χωριανοπούλου,Σέργιος,1
28096539768,Πουλογιαννόπουλος,Δαμιανή,1
09117557508,Ευαγγελάτος,Θησεύς,1
29078919235,Βασιλείου,Βαλεντίνος,1
13066026311,Κατσογιάννης,Γενοβέφα,1
30067207605,Παπαχρήστου,Αρτέμιος,1
12117829430,Κουκουθάκη,Ανέστης,1
29089263381,Παππά,Σάββας,1
30016598225,Ισέρης,Ιακωβίνα,1
07106850615,Χαρμπίλας,Γαρύφαλλος,1
12110092992,Γεωργακόπουλος,Φρειδερίκη,1
19039665787,Παλιεράκη,Παυλίνα,1
25117552709,Δουβρόπουλος,Ανδρέας,1
05108054485,Σόφρα,Ευσταθία,1
09066241066,Ζαχαρίου,Διονυσία,1
19057625874,Χατζαντώνης,Ιγνατία,1
24066191292,Λιόντη,Ευλαμπία,1
04126302520,Θεοδοσίου,Παρασκευή,1
07046809212,Χρυσουλής,Βλαδίμηρος,1
23029878962,Κορομήλας,Αντιγόνη,1
27119176732,Νασιόπουλος,Λαοκράτης,1
05097330666,Κουταλιός,Φραγκίσκος,1
07107368644,Δημητρίου,Μενέλαος,1
20086586811,Κατσαντώνης,Ίρις,1
29056264358,Θεοδοσίου,Κλέαρχος,1
03027351842,Κοντογιάννης,Ραλλία,1
