"Επώνυμο (αρχικού)",Όνομα,Βαθμίδα,"Επίπεδο Εποπτείας","Όνομα (επόπτη)",Επώνυμο,Βαθμίδα
Αγγελάκος,Μαυρίκιος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Αλατζάκης,Θεοτόκης,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Αλεξοπούλου,Αρτέμης,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Αμπατζιάνης,Νέαρχος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Αμπλιάνιτης,Ευδόξιος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Ανδρεανίδης,Θάλεια,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Αντωνόπουλος,Αριστοφάνης,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Αποστολάκη,Δαβιδούλα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Αραμπατζής,Βασίλης,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Αργυροπούλου,Ευστράτιος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Αρμένης,Χρυσαυγή,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Ασημόπουλος,Ιπποκράτης,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Ασουχίδου,Παράσχος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Ατσαλάκη,Κυπαρισσία,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Αφρουδάκης,Ζαφείριος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Αφρουδάκης,Πηνελόπη,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Βαλσαμίδου,Δαμιανός,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Βανδώρος,Μεγακλής,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Βάρσος,Ρεγγίνα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Βασιλειάδη,Ρέα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Βασιλείου,Βαλεντίνος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
